'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':2.030123, 'head_position_x':-0.4398246, 'head_position_y':1.103929, 'head_position_z':-0.4158075
'global_time':2.042385, 'head_position_x':-0.4387749, 'head_position_y':1.104073, 'head_position_z':-0.4167219
'global_time':2.052787, 'head_position_x':-0.437712, 'head_position_y':1.104198, 'head_position_z':-0.4176959
'global_time':2.063743, 'head_position_x':-0.4367042, 'head_position_y':1.104273, 'head_position_z':-0.4186957
'global_time':2.078747, 'head_position_x':-0.4356645, 'head_position_y':1.104342, 'head_position_z':-0.4197202
'global_time':2.089746, 'head_position_x':-0.4346601, 'head_position_y':1.104395, 'head_position_z':-0.4207287
'global_time':2.100179, 'head_position_x':-0.4341286, 'head_position_y':1.104072, 'head_position_z':-0.4221732
'global_time':2.111423, 'head_position_x':-0.4368201, 'head_position_y':1.10228, 'head_position_z':-0.4210022
'global_time':2.121763, 'head_position_x':-0.4359532, 'head_position_y':1.102241, 'head_position_z':-0.4220715
'global_time':2.131093, 'head_position_x':-0.4350879, 'head_position_y':1.10219, 'head_position_z':-0.4231234
'global_time':2.141363, 'head_position_x':-0.4341984, 'head_position_y':1.102111, 'head_position_z':-0.4242426
'global_time':2.152783, 'head_position_x':-0.4357795, 'head_position_y':1.100781, 'head_position_z':-0.4238845
'global_time':2.164352, 'head_position_x':-0.4348803, 'head_position_y':1.100699, 'head_position_z':-0.4249972
'global_time':2.174129, 'head_position_x':-0.4339969, 'head_position_y':1.10061, 'head_position_z':-0.426179
'global_time':2.186612, 'head_position_x':-0.4331626, 'head_position_y':1.10052, 'head_position_z':-0.4273412
'global_time':2.198028, 'head_position_x':-0.4308293, 'head_position_y':1.101188, 'head_position_z':-0.4295681
'global_time':2.210481, 'head_position_x':-0.430002, 'head_position_y':1.101056, 'head_position_z':-0.4307376
'global_time':2.221757, 'head_position_x':-0.4291983, 'head_position_y':1.100957, 'head_position_z':-0.431885
'global_time':2.238199, 'head_position_x':-0.4276059, 'head_position_y':1.100675, 'head_position_z':-0.4341641
