'global_time':19.38424, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1368802, 'gaze_y':0.1361787, 'gaze_z':3.174325, 'useGaze': True
'global_time':20.32449, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.773102, 'gaze_y':0.6622453, 'gaze_z':3.257404, 'useGaze': True
'global_time':20.89381, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4084084, 'gaze_y':0.2198624, 'gaze_z':3.827486, 'useGaze': True
'global_time':21.69005, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7729959, 'gaze_y':0.7033182, 'gaze_z':2.930336, 'useGaze': True
'global_time':22.44552, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.2738617, 'gaze_y':0.1459626, 'gaze_z':3.171505, 'useGaze': True
'global_time':1.734474, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3355026, 'gaze_y':0.2186559, 'gaze_z':3.97252, 'useGaze': True
'global_time':4.591471, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7705583, 'gaze_y':0.4149942, 'gaze_z':3.706559, 'useGaze': True
'global_time':5.204298, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.2250857, 'gaze_y':0.2197712, 'gaze_z':3.420662, 'useGaze': True
'global_time':7.299317, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.2488809, 'gaze_y':0.2198603, 'gaze_z':3.231088, 'useGaze': True
'global_time':13.37858, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.05246028, 'gaze_y':0.005813479, 'gaze_z':3.176207, 'useGaze': True
'global_time':22.22823, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3615972, 'gaze_y':-0.6194446, 'gaze_z':3.177502, 'useGaze': True
'global_time':25.27644, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9600353, 'gaze_y':0.4259023, 'gaze_z':2.907778, 'useGaze': True
'global_time':30.26042, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4828548, 'gaze_y':0.2195316, 'gaze_z':4.006749, 'useGaze': True
'global_time':1.243841, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.061023, 'gaze_y':0.2072786, 'gaze_z':3.171368, 'useGaze': True
'global_time':2.975182, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7845542, 'gaze_y':0.5583401, 'gaze_z':2.901789, 'useGaze': True
