'global_time':4.474053, 'center_x':-1.299999, 'center_y':2, 'center_z':6, 'gaze_x':-1.790323, 'gaze_y':2.035827, 'gaze_z':5.997221
'global_time':4.486595, 'center_x':-1.399999, 'center_y':2, 'center_z':6, 'gaze_x':-1.933832, 'gaze_y':1.994737, 'gaze_z':5.997482
'global_time':4.501624, 'center_x':-1.499999, 'center_y':2, 'center_z':6, 'gaze_x':-2.00717, 'gaze_y':1.977602, 'gaze_z':5.997592
'global_time':4.515469, 'center_x':-1.599999, 'center_y':2, 'center_z':6, 'gaze_x':-2.084429, 'gaze_y':1.959819, 'gaze_z':5.997705
'global_time':4.527797, 'center_x':-1.699999, 'center_y':2, 'center_z':6, 'gaze_x':-2.165605, 'gaze_y':1.944393, 'gaze_z':5.997801
'global_time':4.538432, 'center_x':-1.799999, 'center_y':2, 'center_z':6, 'gaze_x':-2.250471, 'gaze_y':1.929535, 'gaze_z':5.997887
'global_time':4.55479, 'center_x':-1.899999, 'center_y':2, 'center_z':6, 'gaze_x':-2.428203, 'gaze_y':1.900149, 'gaze_z':5.998055
'global_time':4.566243, 'center_x':-1.999999, 'center_y':2, 'center_z':6, 'gaze_x':-2.523573, 'gaze_y':1.886355, 'gaze_z':5.99813
'global_time':4.579189, 'center_x':-2.099999, 'center_y':2, 'center_z':6, 'gaze_x':-2.626051, 'gaze_y':1.877239, 'gaze_z':5.998176
'global_time':4.591578, 'center_x':-2.199999, 'center_y':2, 'center_z':6, 'gaze_x':-2.733816, 'gaze_y':1.871959, 'gaze_z':5.998201
'global_time':4.603758, 'center_x':-2.299999, 'center_y':2, 'center_z':6, 'gaze_x':-2.842253, 'gaze_y':1.876087, 'gaze_z':5.99817
'global_time':4.617548, 'center_x':-2.399998, 'center_y':2, 'center_z':6, 'gaze_x':-2.948092, 'gaze_y':1.879841, 'gaze_z':5.998145
'global_time':4.63077, 'center_x':-2.499998, 'center_y':2, 'center_z':6, 'gaze_x':-3.166595, 'gaze_y':1.880231, 'gaze_z':5.998155
'global_time':4.64325, 'center_x':-2.599998, 'center_y':2, 'center_z':6, 'gaze_x':-3.281688, 'gaze_y':1.872605, 'gaze_z':5.998211
'global_time':4.654806, 'center_x':-2.699998, 'center_y':2, 'center_z':6, 'gaze_x':-3.394837, 'gaze_y':1.864578, 'gaze_z':5.998263
'global_time':4.666625, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-3.499547, 'gaze_y':1.856749, 'gaze_z':5.99831
'global_time':4.67881, 'center_x':-2.899998, 'center_y':2, 'center_z':6, 'gaze_x':-3.593355, 'gaze_y':1.850502, 'gaze_z':5.998345
'global_time':4.693299, 'center_x':-2.999998, 'center_y':2, 'center_z':6, 'gaze_x':-3.675082, 'gaze_y':1.843221, 'gaze_z':5.998388
'global_time':4.705343, 'center_x':-3.099998, 'center_y':2, 'center_z':6, 'gaze_x':-3.748095, 'gaze_y':1.835058, 'gaze_z':5.998434
'global_time':4.71844, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-3.854871, 'gaze_y':1.819767, 'gaze_z':5.998527
'global_time':4.729986, 'center_x':-3.299998, 'center_y':2, 'center_z':6, 'gaze_x':-3.892334, 'gaze_y':1.814179, 'gaze_z':5.99856
'global_time':4.741214, 'center_x':-3.399997, 'center_y':2, 'center_z':6, 'gaze_x':-3.905769, 'gaze_y':1.811652, 'gaze_z':5.99857
'global_time':4.755151, 'center_x':-3.499997, 'center_y':2, 'center_z':6, 'gaze_x':-3.895446, 'gaze_y':1.810285, 'gaze_z':5.998555
'global_time':4.76749, 'center_x':-3.599997, 'center_y':2, 'center_z':6, 'gaze_x':-3.862828, 'gaze_y':1.806605, 'gaze_z':5.998545
'global_time':4.778694, 'center_x':-3.699997, 'center_y':2, 'center_z':6, 'gaze_x':-3.805342, 'gaze_y':1.805513, 'gaze_z':5.998517
'global_time':4.79173, 'center_x':-3.799997, 'center_y':2, 'center_z':6, 'gaze_x':-3.731925, 'gaze_y':1.806229, 'gaze_z':5.998493
'global_time':4.80392, 'center_x':-3.899997, 'center_y':2, 'center_z':6, 'gaze_x':-3.657575, 'gaze_y':1.804832, 'gaze_z':5.998481
'global_time':4.815412, 'center_x':-3.999997, 'center_y':2, 'center_z':6, 'gaze_x':-3.593579, 'gaze_y':1.804949, 'gaze_z':5.998449
'global_time':4.826889, 'center_x':-3.899997, 'center_y':2, 'center_z':6, 'gaze_x':-3.543823, 'gaze_y':1.804658, 'gaze_z':5.998414
'global_time':4.838571, 'center_x':-3.899997, 'center_y':2, 'center_z':6, 'gaze_x':-3.498257, 'gaze_y':1.808219, 'gaze_z':5.998326
'global_time':4.851816, 'center_x':-3.799997, 'center_y':2, 'center_z':6, 'gaze_x':-3.416727, 'gaze_y':1.824505, 'gaze_z':5.998075
'global_time':4.862617, 'center_x':-3.699997, 'center_y':2, 'center_z':6, 'gaze_x':-3.375849, 'gaze_y':1.838509, 'gaze_z':5.997916
'global_time':4.875206, 'center_x':-3.599997, 'center_y':2, 'center_z':6, 'gaze_x':-3.330122, 'gaze_y':1.857548, 'gaze_z':5.997745
'global_time':4.887862, 'center_x':-3.499997, 'center_y':2, 'center_z':6, 'gaze_x':-3.283229, 'gaze_y':1.87408, 'gaze_z':5.997604
'global_time':4.900411, 'center_x':-3.399997, 'center_y':2, 'center_z':6, 'gaze_x':-3.227396, 'gaze_y':1.890981, 'gaze_z':5.997469
'global_time':4.911844, 'center_x':-3.299998, 'center_y':2, 'center_z':6, 'gaze_x':-3.169434, 'gaze_y':1.909893, 'gaze_z':5.99733
'global_time':4.924546, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-3.110093, 'gaze_y':1.931939, 'gaze_z':5.997169
'global_time':4.937614, 'center_x':-3.099998, 'center_y':2, 'center_z':6, 'gaze_x':-3.056138, 'gaze_y':1.954875, 'gaze_z':5.997
'global_time':4.950529, 'center_x':-2.999998, 'center_y':2, 'center_z':6, 'gaze_x':-2.970493, 'gaze_y':1.993054, 'gaze_z':5.996722
'global_time':4.962753, 'center_x':-2.899998, 'center_y':2, 'center_z':6, 'gaze_x':-2.934801, 'gaze_y':2.011173, 'gaze_z':5.9966
'global_time':4.974866, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-2.902586, 'gaze_y':2.023575, 'gaze_z':5.996525
'global_time':4.988755, 'center_x':-2.699998, 'center_y':2, 'center_z':6, 'gaze_x':-2.865939, 'gaze_y':2.033774, 'gaze_z':5.996474
'global_time':5.000848, 'center_x':-2.599998, 'center_y':2, 'center_z':6, 'gaze_x':-2.82971, 'gaze_y':2.040287, 'gaze_z':5.996455
'global_time':5.015286, 'center_x':-2.499998, 'center_y':2, 'center_z':6, 'gaze_x':-2.790874, 'gaze_y':2.043203, 'gaze_z':5.99646
'global_time':5.028787, 'center_x':-2.399998, 'center_y':2, 'center_z':6, 'gaze_x':-2.748272, 'gaze_y':2.050053, 'gaze_z':5.996434
'global_time':5.041857, 'center_x':-2.299999, 'center_y':2, 'center_z':6, 'gaze_x':-2.658361, 'gaze_y':2.06001, 'gaze_z':5.996401
