'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':2.271586, 'head_position_x':-0.1157237, 'head_position_y':1.687977, 'head_position_z':-0.89429
'global_time':2.283572, 'head_position_x':-0.1154261, 'head_position_y':1.687949, 'head_position_z':-0.8941626
'global_time':2.295877, 'head_position_x':-0.1150553, 'head_position_y':1.687968, 'head_position_z':-0.8940155
'global_time':2.305708, 'head_position_x':-0.1147814, 'head_position_y':1.687996, 'head_position_z':-0.8938929
'global_time':2.318348, 'head_position_x':-0.1145146, 'head_position_y':1.687987, 'head_position_z':-0.8937457
'global_time':2.330831, 'head_position_x':-0.1139215, 'head_position_y':1.687891, 'head_position_z':-0.8934376
'global_time':2.343958, 'head_position_x':-0.1136921, 'head_position_y':1.687857, 'head_position_z':-0.8932522
'global_time':2.356353, 'head_position_x':-0.1134235, 'head_position_y':1.687825, 'head_position_z':-0.8931067
'global_time':2.368295, 'head_position_x':-0.1132157, 'head_position_y':1.687727, 'head_position_z':-0.8928495
'global_time':2.380098, 'head_position_x':-0.1130042, 'head_position_y':1.687594, 'head_position_z':-0.8927159
'global_time':2.39415, 'head_position_x':-0.1127264, 'head_position_y':1.687486, 'head_position_z':-0.8925654
'global_time':2.40538, 'head_position_x':-0.1123947, 'head_position_y':1.68743, 'head_position_z':-0.8923625
'global_time':2.415976, 'head_position_x':-0.1121155, 'head_position_y':1.687335, 'head_position_z':-0.8922189
'global_time':2.427851, 'head_position_x':-0.1120083, 'head_position_y':1.687244, 'head_position_z':-0.8920628
'global_time':2.438533, 'head_position_x':-0.1117712, 'head_position_y':1.687194, 'head_position_z':-0.8918865
'global_time':2.451827, 'head_position_x':-0.1115744, 'head_position_y':1.687127, 'head_position_z':-0.8916458
'global_time':2.464211, 'head_position_x':-0.1112654, 'head_position_y':1.687064, 'head_position_z':-0.8911892
'global_time':2.476213, 'head_position_x':-0.111051, 'head_position_y':1.686945, 'head_position_z':-0.8909166
'global_time':2.487586, 'head_position_x':-0.1107545, 'head_position_y':1.686805, 'head_position_z':-0.8907467
'global_time':2.501213, 'head_position_x':-0.1104401, 'head_position_y':1.686713, 'head_position_z':-0.8905758
'global_time':2.511611, 'head_position_x':-0.1101023, 'head_position_y':1.686558, 'head_position_z':-0.8904151
'global_time':2.52562, 'head_position_x':-0.1096817, 'head_position_y':1.686514, 'head_position_z':-0.8901677
'global_time':2.536853, 'head_position_x':-0.1093394, 'head_position_y':1.68642, 'head_position_z':-0.8899875
'global_time':2.548801, 'head_position_x':-0.1090008, 'head_position_y':1.686332, 'head_position_z':-0.8898057
'global_time':2.560742, 'head_position_x':-0.1086423, 'head_position_y':1.686268, 'head_position_z':-0.889617
'global_time':2.572398, 'head_position_x':-0.108286, 'head_position_y':1.686175, 'head_position_z':-0.8894952
'global_time':2.58531, 'head_position_x':-0.1076555, 'head_position_y':1.686004, 'head_position_z':-0.8890962
'global_time':2.599179, 'head_position_x':-0.1072143, 'head_position_y':1.685996, 'head_position_z':-0.888745
'global_time':2.611231, 'head_position_x':-0.1067631, 'head_position_y':1.685927, 'head_position_z':-0.8885103
'global_time':2.621863, 'head_position_x':-0.1063761, 'head_position_y':1.685832, 'head_position_z':-0.8882715
'global_time':2.631679, 'head_position_x':-0.1059277, 'head_position_y':1.685796, 'head_position_z':-0.8880457
'global_time':2.644318, 'head_position_x':-0.1055495, 'head_position_y':1.685771, 'head_position_z':-0.8877332
'global_time':2.655512, 'head_position_x':-0.1051036, 'head_position_y':1.685755, 'head_position_z':-0.8875219
