'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':2.342773, 'head_position_x':0.1488417, 'head_position_y':1.640829, 'head_position_z':-0.02091575
'global_time':2.355331, 'head_position_x':0.1522222, 'head_position_y':1.641037, 'head_position_z':-0.02065705
'global_time':2.366255, 'head_position_x':0.1554734, 'head_position_y':1.641087, 'head_position_z':-0.02038354
'global_time':2.378563, 'head_position_x':0.1588158, 'head_position_y':1.64111, 'head_position_z':-0.02004102
'global_time':2.392361, 'head_position_x':0.1619314, 'head_position_y':1.641127, 'head_position_z':-0.01979216
'global_time':2.404377, 'head_position_x':0.164988, 'head_position_y':1.641125, 'head_position_z':-0.01956869
'global_time':2.416986, 'head_position_x':0.1679676, 'head_position_y':1.641159, 'head_position_z':-0.01930653
'global_time':2.433845, 'head_position_x':0.1738849, 'head_position_y':1.641172, 'head_position_z':-0.01869209
'global_time':2.446782, 'head_position_x':0.1765935, 'head_position_y':1.641353, 'head_position_z':-0.01831113
'global_time':2.45936, 'head_position_x':0.1790594, 'head_position_y':1.641693, 'head_position_z':-0.01786502
'global_time':2.471195, 'head_position_x':0.1816582, 'head_position_y':1.641891, 'head_position_z':-0.01760491
'global_time':2.486583, 'head_position_x':0.1864911, 'head_position_y':1.642209, 'head_position_z':-0.01739373
'global_time':2.497978, 'head_position_x':0.1887525, 'head_position_y':1.642383, 'head_position_z':-0.01719575
'global_time':2.51009, 'head_position_x':0.1909919, 'head_position_y':1.642477, 'head_position_z':-0.01717005
'global_time':2.520871, 'head_position_x':0.1930906, 'head_position_y':1.642474, 'head_position_z':-0.01705547
'global_time':2.532971, 'head_position_x':0.1951253, 'head_position_y':1.642452, 'head_position_z':-0.01706157
'global_time':2.544867, 'head_position_x':0.1970677, 'head_position_y':1.642411, 'head_position_z':-0.01699355
'global_time':2.556868, 'head_position_x':0.1988866, 'head_position_y':1.642439, 'head_position_z':-0.01692548
'global_time':2.568588, 'head_position_x':0.2006764, 'head_position_y':1.642569, 'head_position_z':-0.01682949
'global_time':2.581642, 'head_position_x':0.2021871, 'head_position_y':1.642641, 'head_position_z':-0.01661978
'global_time':2.593372, 'head_position_x':0.2036978, 'head_position_y':1.642778, 'head_position_z':-0.01642645
'global_time':2.603726, 'head_position_x':0.2049458, 'head_position_y':1.642821, 'head_position_z':-0.01635448
'global_time':2.614796, 'head_position_x':0.2060477, 'head_position_y':1.642908, 'head_position_z':-0.01633518
'global_time':2.62704, 'head_position_x':0.2070848, 'head_position_y':1.642995, 'head_position_z':-0.01636365
'global_time':2.638498, 'head_position_x':0.2080066, 'head_position_y':1.643098, 'head_position_z':-0.01647751
'global_time':2.649734, 'head_position_x':0.2086468, 'head_position_y':1.643233, 'head_position_z':-0.01655066
'global_time':2.661379, 'head_position_x':0.2091549, 'head_position_y':1.643358, 'head_position_z':-0.01672777
'global_time':2.673838, 'head_position_x':0.2096582, 'head_position_y':1.643493, 'head_position_z':-0.0168343
'global_time':2.686727, 'head_position_x':0.2102485, 'head_position_y':1.644053, 'head_position_z':-0.01719315
'global_time':2.698055, 'head_position_x':0.2102887, 'head_position_y':1.644324, 'head_position_z':-0.01729534
'global_time':2.707788, 'head_position_x':0.2102856, 'head_position_y':1.644555, 'head_position_z':-0.01744081
'global_time':2.71969, 'head_position_x':0.2101308, 'head_position_y':1.644771, 'head_position_z':-0.01757202
'global_time':2.731575, 'head_position_x':0.2098286, 'head_position_y':1.645054, 'head_position_z':-0.01784158
'global_time':2.74352, 'head_position_x':0.209407, 'head_position_y':1.645253, 'head_position_z':-0.01801777
'global_time':2.754885, 'head_position_x':0.2089096, 'head_position_y':1.645481, 'head_position_z':-0.01829418
'global_time':2.769325, 'head_position_x':0.2082034, 'head_position_y':1.645731, 'head_position_z':-0.0184657
'global_time':2.781821, 'head_position_x':0.2075815, 'head_position_y':1.645965, 'head_position_z':-0.01860482
'global_time':2.792959, 'head_position_x':0.2067399, 'head_position_y':1.646213, 'head_position_z':-0.01871813
'global_time':2.80581, 'head_position_x':0.2057983, 'head_position_y':1.646469, 'head_position_z':-0.01883258
'global_time':2.818139, 'head_position_x':0.2047531, 'head_position_y':1.646698, 'head_position_z':-0.0189701
'global_time':2.830318, 'head_position_x':0.2022439, 'head_position_y':1.647099, 'head_position_z':-0.01934091
'global_time':2.840832, 'head_position_x':0.2007508, 'head_position_y':1.647302, 'head_position_z':-0.01940722
'global_time':2.853507, 'head_position_x':0.1991151, 'head_position_y':1.647481, 'head_position_z':-0.01950378
'global_time':2.866923, 'head_position_x':0.197504, 'head_position_y':1.647712, 'head_position_z':-0.01962899
'global_time':2.879093, 'head_position_x':0.1953684, 'head_position_y':1.647942, 'head_position_z':-0.01943367
'global_time':2.891653, 'head_position_x':0.1933534, 'head_position_y':1.647981, 'head_position_z':-0.01942682
'global_time':2.90333, 'head_position_x':0.1912513, 'head_position_y':1.647985, 'head_position_z':-0.01934527
'global_time':2.916331, 'head_position_x':0.1890445, 'head_position_y':1.647836, 'head_position_z':-0.01933429
'global_time':2.92888, 'head_position_x':0.1842165, 'head_position_y':1.647576, 'head_position_z':-0.01962624
'global_time':2.940999, 'head_position_x':0.1814476, 'head_position_y':1.64716, 'head_position_z':-0.0196268
'global_time':2.952453, 'head_position_x':0.1785599, 'head_position_y':1.64668, 'head_position_z':-0.01966394
'global_time':2.963799, 'head_position_x':0.1753468, 'head_position_y':1.646068, 'head_position_z':-0.01966293
'global_time':2.975384, 'head_position_x':0.1721681, 'head_position_y':1.645452, 'head_position_z':-0.01978034
'global_time':2.987251, 'head_position_x':0.1690249, 'head_position_y':1.644692, 'head_position_z':-0.01973053
'global_time':2.997664, 'head_position_x':0.165583, 'head_position_y':1.643816, 'head_position_z':-0.01954032
'global_time':3.01071, 'head_position_x':0.1619834, 'head_position_y':1.642971, 'head_position_z':-0.01941776
'global_time':3.021584, 'head_position_x':0.1582026, 'head_position_y':1.642214, 'head_position_z':-0.0188491
'global_time':3.032921, 'head_position_x':0.1545311, 'head_position_y':1.641682, 'head_position_z':-0.01893389
'global_time':3.043075, 'head_position_x':0.1507446, 'head_position_y':1.641316, 'head_position_z':-0.01888094
'global_time':3.054093, 'head_position_x':0.1469263, 'head_position_y':1.64104, 'head_position_z':-0.01890442
