'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.559549, 'gaze_vector_x':0.2299567, 'gaze_vector_y':0.008697271, 'gaze_vector_z':0.9731452
'gaze_vector':2.571451, 'gaze_vector_x':0.1885231, 'gaze_vector_y':0.01710653, 'gaze_vector_z':0.9819022
'gaze_vector':2.585217, 'gaze_vector_x':0.1392025, 'gaze_vector_y':0.02377218, 'gaze_vector_z':0.9899633
'gaze_vector':2.598548, 'gaze_vector_x':0.0771477, 'gaze_vector_y':0.05887696, 'gaze_vector_z':0.9952658
'gaze_vector':2.60924, 'gaze_vector_x':0.06640217, 'gaze_vector_y':0.06706405, 'gaze_vector_z':0.9955305
'gaze_vector':2.619335, 'gaze_vector_x':0.06587487, 'gaze_vector_y':0.06469747, 'gaze_vector_z':0.9957254
'gaze_vector':2.633547, 'gaze_vector_x':0.04928178, 'gaze_vector_y':0.05656222, 'gaze_vector_z':0.9971786
'gaze_vector':2.646773, 'gaze_vector_x':0.03645878, 'gaze_vector_y':0.06113206, 'gaze_vector_z':0.9974576
'gaze_vector':2.658049, 'gaze_vector_x':0.03260833, 'gaze_vector_y':0.05647441, 'gaze_vector_z':0.99787
'gaze_vector':2.669152, 'gaze_vector_x':0.02222918, 'gaze_vector_y':0.06192238, 'gaze_vector_z':0.9978315
'gaze_vector':2.682666, 'gaze_vector_x':0.009929683, 'gaze_vector_y':0.06481092, 'gaze_vector_z':0.9978328
'gaze_vector':2.694611, 'gaze_vector_x':-0.0021188, 'gaze_vector_y':0.05999723, 'gaze_vector_z':0.9981847
'gaze_vector':2.706052, 'gaze_vector_x':-0.0099211, 'gaze_vector_y':0.06267294, 'gaze_vector_z':0.9979784
'gaze_vector':2.719951, 'gaze_vector_x':-0.01862124, 'gaze_vector_y':0.06394307, 'gaze_vector_z':0.9977711
'gaze_vector':2.730805, 'gaze_vector_x':-0.02482928, 'gaze_vector_y':0.06291769, 'gaze_vector_z':0.9976984
'gaze_vector':2.742748, 'gaze_vector_x':-0.03224538, 'gaze_vector_y':0.06439815, 'gaze_vector_z':0.9973979
'gaze_vector':2.753074, 'gaze_vector_x':-0.0402204, 'gaze_vector_y':0.06626627, 'gaze_vector_z':0.9969895
'gaze_vector':2.766832, 'gaze_vector_x':-0.04466326, 'gaze_vector_y':0.06879716, 'gaze_vector_z':0.9966202
'gaze_vector':2.777774, 'gaze_vector_x':-0.04965754, 'gaze_vector_y':0.07196531, 'gaze_vector_z':0.9961583
'gaze_vector':2.78964, 'gaze_vector_x':-0.04862744, 'gaze_vector_y':0.07277486, 'gaze_vector_z':0.9961586
'gaze_vector':2.801133, 'gaze_vector_x':-0.05607172, 'gaze_vector_y':0.07301837, 'gaze_vector_z':0.9957419
'gaze_vector':2.815293, 'gaze_vector_x':-0.1082244, 'gaze_vector_y':0.06718232, 'gaze_vector_z':0.9918408
'gaze_vector':2.826856, 'gaze_vector_x':-0.1532266, 'gaze_vector_y':0.0587301, 'gaze_vector_z':0.9864407
'gaze_vector':2.838493, 'gaze_vector_x':-0.1863406, 'gaze_vector_y':0.05653372, 'gaze_vector_z':0.9808556
'gaze_vector':2.851491, 'gaze_vector_x':-0.1952566, 'gaze_vector_y':0.06053786, 'gaze_vector_z':0.9788756
'gaze_vector':2.864392, 'gaze_vector_x':-0.2029483, 'gaze_vector_y':0.06447573, 'gaze_vector_z':0.9770607
'gaze_vector':2.876149, 'gaze_vector_x':-0.2092243, 'gaze_vector_y':0.06349844, 'gaze_vector_z':0.9757916
'gaze_vector':2.888287, 'gaze_vector_x':-0.2146092, 'gaze_vector_y':0.06022145, 'gaze_vector_z':0.9748294
'gaze_vector':2.900337, 'gaze_vector_x':-0.2229322, 'gaze_vector_y':0.0560994, 'gaze_vector_z':0.9732144
'gaze_vector':2.914533, 'gaze_vector_x':-0.2307096, 'gaze_vector_y':0.05319142, 'gaze_vector_z':0.9715667
'gaze_vector':2.926279, 'gaze_vector_x':-0.245813, 'gaze_vector_y':0.06031748, 'gaze_vector_z':0.967428
'gaze_vector':2.937835, 'gaze_vector_x':-0.2681413, 'gaze_vector_y':0.0594356, 'gaze_vector_z':0.9615414
'gaze_vector':2.948983, 'gaze_vector_x':-0.278443, 'gaze_vector_y':0.05931566, 'gaze_vector_z':0.9586038
'gaze_vector':2.962222, 'gaze_vector_x':-0.2907422, 'gaze_vector_y':0.05809991, 'gaze_vector_z':0.9550294
'gaze_vector':2.977437, 'gaze_vector_x':-0.301686, 'gaze_vector_y':0.05768501, 'gaze_vector_z':0.9516494
'gaze_vector':2.991271, 'gaze_vector_x':-0.3123989, 'gaze_vector_y':0.0568143, 'gaze_vector_z':0.948247
'gaze_vector':3.003617, 'gaze_vector_x':-0.2954888, 'gaze_vector_y':0.04807283, 'gaze_vector_z':0.954122
'gaze_vector':3.015131, 'gaze_vector_x':-0.3134016, 'gaze_vector_y':0.0487062, 'gaze_vector_z':0.9483672
'gaze_vector':3.025889, 'gaze_vector_x':-0.3309121, 'gaze_vector_y':0.03562403, 'gaze_vector_z':0.9429809
'gaze_vector':3.039789, 'gaze_vector_x':-0.4120053, 'gaze_vector_y':0.05206871, 'gaze_vector_z':0.9096775
'gaze_vector':3.052406, 'gaze_vector_x':-0.4201574, 'gaze_vector_y':0.06284239, 'gaze_vector_z':0.905259
'gaze_vector':3.064716, 'gaze_vector_x':-0.4296401, 'gaze_vector_y':0.04820526, 'gaze_vector_z':0.9017099
'gaze_vector':3.077171, 'gaze_vector_x':-0.4361157, 'gaze_vector_y':0.04546639, 'gaze_vector_z':0.898727
'gaze_vector':3.089723, 'gaze_vector_x':-0.4329151, 'gaze_vector_y':0.05176946, 'gaze_vector_z':0.8999346
'gaze_vector':3.102654, 'gaze_vector_x':-0.4467433, 'gaze_vector_y':0.05205705, 'gaze_vector_z':0.8931322
'gaze_vector':3.114264, 'gaze_vector_x':-0.4473972, 'gaze_vector_y':0.05837496, 'gaze_vector_z':0.8924096
'gaze_vector':3.126351, 'gaze_vector_x':-0.4476252, 'gaze_vector_y':0.04985103, 'gaze_vector_z':0.8928275
