'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':2.742748, 'head_position_x':0.2553109, 'head_position_y':1.733302, 'head_position_z':-0.5579352
'global_time':2.753074, 'head_position_x':0.2546309, 'head_position_y':1.733341, 'head_position_z':-0.5579451
'global_time':2.766832, 'head_position_x':0.2541204, 'head_position_y':1.733355, 'head_position_z':-0.5578275
'global_time':2.777774, 'head_position_x':0.2534911, 'head_position_y':1.733405, 'head_position_z':-0.5576739
'global_time':2.78964, 'head_position_x':0.2527018, 'head_position_y':1.733466, 'head_position_z':-0.5575188
'global_time':2.801133, 'head_position_x':0.2520482, 'head_position_y':1.733532, 'head_position_z':-0.5573581
'global_time':2.815293, 'head_position_x':0.2514946, 'head_position_y':1.733595, 'head_position_z':-0.5572121
'global_time':2.826856, 'head_position_x':0.249965, 'head_position_y':1.733725, 'head_position_z':-0.5569587
'global_time':2.838493, 'head_position_x':0.2491731, 'head_position_y':1.733798, 'head_position_z':-0.5567842
'global_time':2.851491, 'head_position_x':0.2485103, 'head_position_y':1.733864, 'head_position_z':-0.5566142
'global_time':2.864392, 'head_position_x':0.2476271, 'head_position_y':1.733909, 'head_position_z':-0.5565731
'global_time':2.876149, 'head_position_x':0.2468079, 'head_position_y':1.733925, 'head_position_z':-0.5563995
'global_time':2.888287, 'head_position_x':0.2460855, 'head_position_y':1.733954, 'head_position_z':-0.556216
'global_time':2.900337, 'head_position_x':0.2451701, 'head_position_y':1.733954, 'head_position_z':-0.556047
'global_time':2.914533, 'head_position_x':0.2441381, 'head_position_y':1.733937, 'head_position_z':-0.5558441
'global_time':2.926279, 'head_position_x':0.2431939, 'head_position_y':1.733915, 'head_position_z':-0.5556797
'global_time':2.937835, 'head_position_x':0.2413345, 'head_position_y':1.733872, 'head_position_z':-0.555384
'global_time':2.948983, 'head_position_x':0.2402123, 'head_position_y':1.733791, 'head_position_z':-0.5552574
'global_time':2.962222, 'head_position_x':0.2392145, 'head_position_y':1.733693, 'head_position_z':-0.555119
'global_time':2.977437, 'head_position_x':0.2382099, 'head_position_y':1.733666, 'head_position_z':-0.5549569
'global_time':2.991271, 'head_position_x':0.2370831, 'head_position_y':1.733572, 'head_position_z':-0.5549309
'global_time':3.003617, 'head_position_x':0.2360498, 'head_position_y':1.733483, 'head_position_z':-0.5548109
'global_time':3.015131, 'head_position_x':0.2351507, 'head_position_y':1.733383, 'head_position_z':-0.554646
'global_time':3.025889, 'head_position_x':0.2341257, 'head_position_y':1.733279, 'head_position_z':-0.5545197
'global_time':3.039789, 'head_position_x':0.2318579, 'head_position_y':1.733127, 'head_position_z':-0.554139
'global_time':3.052406, 'head_position_x':0.2308961, 'head_position_y':1.733086, 'head_position_z':-0.5538946
'global_time':3.064716, 'head_position_x':0.2298574, 'head_position_y':1.733038, 'head_position_z':-0.5537847
'global_time':3.077171, 'head_position_x':0.2286677, 'head_position_y':1.732973, 'head_position_z':-0.5538006
'global_time':3.089723, 'head_position_x':0.2276807, 'head_position_y':1.732848, 'head_position_z':-0.5535448
'global_time':3.102654, 'head_position_x':0.2266521, 'head_position_y':1.732742, 'head_position_z':-0.5534834
'global_time':3.114264, 'head_position_x':0.2255622, 'head_position_y':1.732667, 'head_position_z':-0.5535522
'global_time':3.126351, 'head_position_x':0.2246057, 'head_position_y':1.732556, 'head_position_z':-0.5535434
'global_time':3.13837, 'head_position_x':0.2230721, 'head_position_y':1.732373, 'head_position_z':-0.5533463
'global_time':3.151298, 'head_position_x':0.2222242, 'head_position_y':1.732282, 'head_position_z':-0.5531934
'global_time':3.163695, 'head_position_x':0.2217355, 'head_position_y':1.732238, 'head_position_z':-0.5530536
'global_time':3.175718, 'head_position_x':0.2213174, 'head_position_y':1.73217, 'head_position_z':-0.5530178
'global_time':3.187773, 'head_position_x':0.220883, 'head_position_y':1.732151, 'head_position_z':-0.5528441
'global_time':3.199898, 'head_position_x':0.2205903, 'head_position_y':1.732124, 'head_position_z':-0.5527446
'global_time':3.210187, 'head_position_x':0.2206618, 'head_position_y':1.732122, 'head_position_z':-0.5526205
'global_time':3.22212, 'head_position_x':0.2207323, 'head_position_y':1.732129, 'head_position_z':-0.5524613
'global_time':3.235466, 'head_position_x':0.2207863, 'head_position_y':1.732092, 'head_position_z':-0.5521481
'global_time':3.247059, 'head_position_x':0.2210287, 'head_position_y':1.732064, 'head_position_z':-0.551927
'global_time':3.259377, 'head_position_x':0.2215772, 'head_position_y':1.732057, 'head_position_z':-0.5515252
'global_time':3.271127, 'head_position_x':0.2219761, 'head_position_y':1.732034, 'head_position_z':-0.5511224
'global_time':3.284336, 'head_position_x':0.2232854, 'head_position_y':1.732167, 'head_position_z':-0.5501624
'global_time':3.296604, 'head_position_x':0.2239996, 'head_position_y':1.732302, 'head_position_z':-0.5497599
'global_time':3.308161, 'head_position_x':0.2246275, 'head_position_y':1.732401, 'head_position_z':-0.5491803
'global_time':3.319888, 'head_position_x':0.2253857, 'head_position_y':1.732528, 'head_position_z':-0.5487785
'global_time':3.332703, 'head_position_x':0.2263542, 'head_position_y':1.732646, 'head_position_z':-0.5482032
'global_time':3.34269, 'head_position_x':0.2272531, 'head_position_y':1.732765, 'head_position_z':-0.5478026
'global_time':3.353561, 'head_position_x':0.2280509, 'head_position_y':1.732846, 'head_position_z':-0.5474347
'global_time':3.366135, 'head_position_x':0.2289345, 'head_position_y':1.732956, 'head_position_z':-0.5470282
'global_time':3.378767, 'head_position_x':0.2299715, 'head_position_y':1.733085, 'head_position_z':-0.5467189
'global_time':3.391217, 'head_position_x':0.2307844, 'head_position_y':1.733212, 'head_position_z':-0.5465926
'global_time':3.402292, 'head_position_x':0.2316168, 'head_position_y':1.733318, 'head_position_z':-0.5462678
'global_time':3.413736, 'head_position_x':0.232618, 'head_position_y':1.733371, 'head_position_z':-0.546098
'global_time':3.42607, 'head_position_x':0.233469, 'head_position_y':1.733436, 'head_position_z':-0.5458474
'global_time':3.438046, 'head_position_x':0.2350314, 'head_position_y':1.73346, 'head_position_z':-0.5454173
'global_time':3.451021, 'head_position_x':0.2359352, 'head_position_y':1.733438, 'head_position_z':-0.5453261
'global_time':3.467186, 'head_position_x':0.2366147, 'head_position_y':1.733438, 'head_position_z':-0.5452911
'global_time':3.479256, 'head_position_x':0.2373394, 'head_position_y':1.733444, 'head_position_z':-0.5451008
'global_time':3.492332, 'head_position_x':0.2382011, 'head_position_y':1.733464, 'head_position_z':-0.5450597
'global_time':3.504699, 'head_position_x':0.239478, 'head_position_y':1.733376, 'head_position_z':-0.5450407
'global_time':3.517344, 'head_position_x':0.2401551, 'head_position_y':1.733328, 'head_position_z':-0.5449361
'global_time':3.527561, 'head_position_x':0.2408913, 'head_position_y':1.733178, 'head_position_z':-0.5449049
'global_time':3.539541, 'head_position_x':0.2416662, 'head_position_y':1.733185, 'head_position_z':-0.5447091
'global_time':3.551028, 'head_position_x':0.2423726, 'head_position_y':1.733137, 'head_position_z':-0.5447324
'global_time':3.564878, 'head_position_x':0.2431097, 'head_position_y':1.733041, 'head_position_z':-0.5446703
'global_time':3.576418, 'head_position_x':0.2438621, 'head_position_y':1.732849, 'head_position_z':-0.5447887
'global_time':3.588471, 'head_position_x':0.2445823, 'head_position_y':1.732764, 'head_position_z':-0.5447739
'global_time':3.599733, 'head_position_x':0.2452524, 'head_position_y':1.732559, 'head_position_z':-0.5447611
'global_time':3.612098, 'head_position_x':0.246034, 'head_position_y':1.732389, 'head_position_z':-0.5447567
'global_time':3.625826, 'head_position_x':0.2468508, 'head_position_y':1.732331, 'head_position_z':-0.5446036
'global_time':3.638309, 'head_position_x':0.2483616, 'head_position_y':1.732132, 'head_position_z':-0.5445877
'global_time':3.649781, 'head_position_x':0.2493589, 'head_position_y':1.732074, 'head_position_z':-0.5446908
'global_time':3.661131, 'head_position_x':0.250251, 'head_position_y':1.732051, 'head_position_z':-0.5447744
'global_time':3.673186, 'head_position_x':0.2511714, 'head_position_y':1.732003, 'head_position_z':-0.5447369
'global_time':3.684086, 'head_position_x':0.2522446, 'head_position_y':1.731908, 'head_position_z':-0.5448552
'global_time':3.694495, 'head_position_x':0.253213, 'head_position_y':1.731846, 'head_position_z':-0.5448295
'global_time':3.707189, 'head_position_x':0.254252, 'head_position_y':1.731781, 'head_position_z':-0.5447941
'global_time':3.718587, 'head_position_x':0.255193, 'head_position_y':1.73171, 'head_position_z':-0.5448821
'global_time':3.730647, 'head_position_x':0.2562754, 'head_position_y':1.731605, 'head_position_z':-0.5448464
'global_time':3.741752, 'head_position_x':0.2573113, 'head_position_y':1.731562, 'head_position_z':-0.5448188
'global_time':3.754519, 'head_position_x':0.2583958, 'head_position_y':1.731616, 'head_position_z':-0.544826
'global_time':3.766647, 'head_position_x':0.2595168, 'head_position_y':1.731599, 'head_position_z':-0.5447845
'global_time':3.779802, 'head_position_x':0.2606528, 'head_position_y':1.731653, 'head_position_z':-0.5447125
'global_time':3.790942, 'head_position_x':0.2616969, 'head_position_y':1.731719, 'head_position_z':-0.5446258
'global_time':3.803315, 'head_position_x':0.262814, 'head_position_y':1.731712, 'head_position_z':-0.5446126
'global_time':3.813127, 'head_position_x':0.2639068, 'head_position_y':1.731726, 'head_position_z':-0.5446342
'global_time':3.826366, 'head_position_x':0.2650758, 'head_position_y':1.731746, 'head_position_z':-0.5447802
'global_time':3.838078, 'head_position_x':0.2672365, 'head_position_y':1.731791, 'head_position_z':-0.5450878
'global_time':3.852771, 'head_position_x':0.2684351, 'head_position_y':1.731753, 'head_position_z':-0.545193
'global_time':3.865149, 'head_position_x':0.2695523, 'head_position_y':1.73172, 'head_position_z':-0.5452802
'global_time':3.876863, 'head_position_x':0.2707115, 'head_position_y':1.73169, 'head_position_z':-0.5453585
'global_time':3.89003, 'head_position_x':0.2719299, 'head_position_y':1.731646, 'head_position_z':-0.545459
'global_time':3.900831, 'head_position_x':0.2730203, 'head_position_y':1.731574, 'head_position_z':-0.5455879
'global_time':3.911174, 'head_position_x':0.2739745, 'head_position_y':1.731492, 'head_position_z':-0.5455678
'global_time':3.923016, 'head_position_x':0.2751046, 'head_position_y':1.731443, 'head_position_z':-0.5457015
'global_time':3.934219, 'head_position_x':0.2763754, 'head_position_y':1.731423, 'head_position_z':-0.5457196
'global_time':3.947859, 'head_position_x':0.2775908, 'head_position_y':1.731345, 'head_position_z':-0.545876
'global_time':3.962775, 'head_position_x':0.279979, 'head_position_y':1.731118, 'head_position_z':-0.5462533
'global_time':3.975864, 'head_position_x':0.2812351, 'head_position_y':1.731018, 'head_position_z':-0.5463603
'global_time':3.989743, 'head_position_x':0.2824486, 'head_position_y':1.731028, 'head_position_z':-0.5465069
'global_time':4.001242, 'head_position_x':0.2836266, 'head_position_y':1.731076, 'head_position_z':-0.5465575
'global_time':4.014586, 'head_position_x':0.2848899, 'head_position_y':1.731072, 'head_position_z':-0.5465702
'global_time':4.026752, 'head_position_x':0.2872696, 'head_position_y':1.731086, 'head_position_z':-0.5469033
