'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':3.656529, 'head_position_x':0.1811526, 'head_position_y':1.733139, 'head_position_z':-0.4955843
'global_time':3.668543, 'head_position_x':0.1811534, 'head_position_y':1.733073, 'head_position_z':-0.4960786
'global_time':3.679844, 'head_position_x':0.1812358, 'head_position_y':1.733042, 'head_position_z':-0.4962181
'global_time':3.692603, 'head_position_x':0.1812234, 'head_position_y':1.733051, 'head_position_z':-0.4963687
'global_time':3.702322, 'head_position_x':0.1811861, 'head_position_y':1.732984, 'head_position_z':-0.4966173
'global_time':3.713996, 'head_position_x':0.1812192, 'head_position_y':1.732926, 'head_position_z':-0.4968249
'global_time':3.72316, 'head_position_x':0.1812705, 'head_position_y':1.732964, 'head_position_z':-0.4970492
'global_time':3.736556, 'head_position_x':0.1812304, 'head_position_y':1.733021, 'head_position_z':-0.4973176
'global_time':3.747156, 'head_position_x':0.1811548, 'head_position_y':1.732976, 'head_position_z':-0.4975682
'global_time':3.756465, 'head_position_x':0.1811946, 'head_position_y':1.732932, 'head_position_z':-0.4978182
'global_time':3.769366, 'head_position_x':0.1811038, 'head_position_y':1.732987, 'head_position_z':-0.4981058
'global_time':3.783004, 'head_position_x':0.1809664, 'head_position_y':1.732983, 'head_position_z':-0.498324
'global_time':3.794633, 'head_position_x':0.1810134, 'head_position_y':1.733004, 'head_position_z':-0.498636
'global_time':3.805533, 'head_position_x':0.1808558, 'head_position_y':1.733051, 'head_position_z':-0.498912
'global_time':3.817017, 'head_position_x':0.1806829, 'head_position_y':1.733099, 'head_position_z':-0.4991776
'global_time':3.829013, 'head_position_x':0.1804312, 'head_position_y':1.733211, 'head_position_z':-0.4994585
'global_time':3.840262, 'head_position_x':0.1800659, 'head_position_y':1.733366, 'head_position_z':-0.4997471
'global_time':3.852087, 'head_position_x':0.1797078, 'head_position_y':1.733528, 'head_position_z':-0.5000154
'global_time':3.863238, 'head_position_x':0.1791359, 'head_position_y':1.733695, 'head_position_z':-0.5003296
'global_time':3.874154, 'head_position_x':0.1786362, 'head_position_y':1.733766, 'head_position_z':-0.5006319
'global_time':3.886077, 'head_position_x':0.1780607, 'head_position_y':1.733887, 'head_position_z':-0.501024
'global_time':3.897178, 'head_position_x':0.1773248, 'head_position_y':1.733957, 'head_position_z':-0.5014508
