'global_time':4.934696, 'center_x':-2.399998, 'center_y':2, 'center_z':6, 'gaze_x':-2.831851, 'gaze_y':2.01459, 'gaze_z':5.995457
'global_time':4.947136, 'center_x':-2.299999, 'center_y':2, 'center_z':6, 'gaze_x':-2.696985, 'gaze_y':2.090072, 'gaze_z':5.995444
'global_time':4.960463, 'center_x':-2.199999, 'center_y':2, 'center_z':6, 'gaze_x':-2.656598, 'gaze_y':2.041564, 'gaze_z':5.995455
'global_time':4.971464, 'center_x':-2.099999, 'center_y':2, 'center_z':6, 'gaze_x':-2.560841, 'gaze_y':2.012172, 'gaze_z':5.995434
'global_time':4.98421, 'center_x':-1.999999, 'center_y':2, 'center_z':6, 'gaze_x':-2.474259, 'gaze_y':2.0286, 'gaze_z':5.995414
'global_time':4.997244, 'center_x':-1.899999, 'center_y':2, 'center_z':6, 'gaze_x':-2.412087, 'gaze_y':1.993301, 'gaze_z':5.995437
'global_time':5.011384, 'center_x':-1.799999, 'center_y':2, 'center_z':6, 'gaze_x':-2.311167, 'gaze_y':1.982916, 'gaze_z':5.995433
'global_time':5.023087, 'center_x':-1.699999, 'center_y':2, 'center_z':6, 'gaze_x':-2.013465, 'gaze_y':2.005723, 'gaze_z':5.995447
'global_time':5.034325, 'center_x':-1.599999, 'center_y':2, 'center_z':6, 'gaze_x':-1.916923, 'gaze_y':1.995361, 'gaze_z':5.995483
'global_time':5.047262, 'center_x':-1.499999, 'center_y':2, 'center_z':6, 'gaze_x':-1.817339, 'gaze_y':2.015718, 'gaze_z':5.995495
'global_time':5.058073, 'center_x':-1.399999, 'center_y':2, 'center_z':6, 'gaze_x':-1.731958, 'gaze_y':2.019966, 'gaze_z':5.995584
'global_time':5.069979, 'center_x':-1.299999, 'center_y':2, 'center_z':6, 'gaze_x':-1.619454, 'gaze_y':2.037299, 'gaze_z':5.995597
'global_time':5.080523, 'center_x':-1.2, 'center_y':2, 'center_z':6, 'gaze_x':-1.480312, 'gaze_y':2.037767, 'gaze_z':5.995662
'global_time':5.099113, 'center_x':-1.1, 'center_y':2, 'center_z':6, 'gaze_x':-1.329961, 'gaze_y':2.072768, 'gaze_z':5.995623
'global_time':5.112094, 'center_x':-0.9999997, 'center_y':2, 'center_z':6, 'gaze_x':-1.107307, 'gaze_y':2.071941, 'gaze_z':5.995696
'global_time':5.127386, 'center_x':-0.8999997, 'center_y':2, 'center_z':6, 'gaze_x':-1.045123, 'gaze_y':2.038791, 'gaze_z':5.995655
'global_time':5.140402, 'center_x':-0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.9383933, 'gaze_y':2.029248, 'gaze_z':5.995669
'global_time':5.151958, 'center_x':-0.6999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.8403905, 'gaze_y':2.04432, 'gaze_z':5.995652
'global_time':5.163865, 'center_x':-0.5999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.7405206, 'gaze_y':2.050803, 'gaze_z':5.995712
'global_time':5.176312, 'center_x':-0.4999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.6415861, 'gaze_y':2.0551, 'gaze_z':5.995752
'global_time':5.189726, 'center_x':-0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.5349502, 'gaze_y':2.059073, 'gaze_z':5.99583
'global_time':5.202827, 'center_x':-0.3, 'center_y':2, 'center_z':6, 'gaze_x':-0.3271502, 'gaze_y':2.057832, 'gaze_z':5.995874
'global_time':5.214986, 'center_x':-0.2, 'center_y':2, 'center_z':6, 'gaze_x':-0.1921566, 'gaze_y':2.071937, 'gaze_z':5.995922
'global_time':5.226967, 'center_x':-0.1, 'center_y':2, 'center_z':6, 'gaze_x':-0.1055559, 'gaze_y':2.074764, 'gaze_z':5.995978
'global_time':5.240717, 'center_x':-5.960464E-08, 'center_y':2, 'center_z':6, 'gaze_x':-0.01729813, 'gaze_y':2.073536, 'gaze_z':5.996076
'global_time':5.252913, 'center_x':0.0999999, 'center_y':2, 'center_z':6, 'gaze_x':0.07361986, 'gaze_y':2.07348, 'gaze_z':5.996116
'global_time':5.264371, 'center_x':0.1999999, 'center_y':2, 'center_z':6, 'gaze_x':0.1738391, 'gaze_y':2.088989, 'gaze_z':5.996136
'global_time':5.28544, 'center_x':0.2999998, 'center_y':2, 'center_z':6, 'gaze_x':0.4690984, 'gaze_y':2.090363, 'gaze_z':5.99624
'global_time':5.29848, 'center_x':0.3999998, 'center_y':2, 'center_z':6, 'gaze_x':0.5997851, 'gaze_y':2.086151, 'gaze_z':5.996387
'global_time':5.310863, 'center_x':0.4999998, 'center_y':2, 'center_z':6, 'gaze_x':0.6776853, 'gaze_y':2.086025, 'gaze_z':5.99639
'global_time':5.321678, 'center_x':0.5999997, 'center_y':2, 'center_z':6, 'gaze_x':0.6968231, 'gaze_y':2.087159, 'gaze_z':5.996439
'global_time':5.333335, 'center_x':0.6999997, 'center_y':2, 'center_z':6, 'gaze_x':0.7618345, 'gaze_y':2.093995, 'gaze_z':5.996489
'global_time':5.345832, 'center_x':0.7999997, 'center_y':2, 'center_z':6, 'gaze_x':0.9635687, 'gaze_y':2.099141, 'gaze_z':5.996499
'global_time':5.357462, 'center_x':0.8999996, 'center_y':2, 'center_z':6, 'gaze_x':1.050669, 'gaze_y':2.100528, 'gaze_z':5.996614
'global_time':5.368545, 'center_x':0.9999996, 'center_y':2, 'center_z':6, 'gaze_x':1.160026, 'gaze_y':2.108083, 'gaze_z':5.996605
'global_time':5.381952, 'center_x':1.1, 'center_y':2, 'center_z':6, 'gaze_x':1.281224, 'gaze_y':2.096779, 'gaze_z':5.996647
'global_time':5.393433, 'center_x':1.2, 'center_y':2, 'center_z':6, 'gaze_x':1.397655, 'gaze_y':2.116645, 'gaze_z':5.996662
'global_time':5.405673, 'center_x':1.299999, 'center_y':2, 'center_z':6, 'gaze_x':1.507706, 'gaze_y':2.121892, 'gaze_z':5.99672
'global_time':5.418716, 'center_x':1.399999, 'center_y':2, 'center_z':6, 'gaze_x':1.636725, 'gaze_y':2.121546, 'gaze_z':5.996747
'global_time':5.431752, 'center_x':1.499999, 'center_y':2, 'center_z':6, 'gaze_x':1.725014, 'gaze_y':2.116495, 'gaze_z':5.996812
'global_time':5.444023, 'center_x':1.599999, 'center_y':2, 'center_z':6, 'gaze_x':1.809085, 'gaze_y':2.114981, 'gaze_z':5.996968
'global_time':5.455001, 'center_x':1.699999, 'center_y':2, 'center_z':6, 'gaze_x':1.882562, 'gaze_y':2.104262, 'gaze_z':5.996973
'global_time':5.465393, 'center_x':1.799999, 'center_y':2, 'center_z':6, 'gaze_x':1.956585, 'gaze_y':2.094962, 'gaze_z':5.997025
'global_time':5.478166, 'center_x':1.899999, 'center_y':2, 'center_z':6, 'gaze_x':2.032912, 'gaze_y':2.085119, 'gaze_z':5.997142
'global_time':5.489048, 'center_x':1.999999, 'center_y':2, 'center_z':6, 'gaze_x':2.229194, 'gaze_y':2.085462, 'gaze_z':5.997221
'global_time':5.50124, 'center_x':2.099999, 'center_y':2, 'center_z':6, 'gaze_x':2.315056, 'gaze_y':2.086365, 'gaze_z':5.997313
'global_time':5.513577, 'center_x':2.199999, 'center_y':2, 'center_z':6, 'gaze_x':2.408365, 'gaze_y':2.09119, 'gaze_z':5.997334
'global_time':5.527219, 'center_x':2.299999, 'center_y':2, 'center_z':6, 'gaze_x':2.503629, 'gaze_y':2.103858, 'gaze_z':5.997435
'global_time':5.53907, 'center_x':2.399998, 'center_y':2, 'center_z':6, 'gaze_x':2.596861, 'gaze_y':2.10303, 'gaze_z':5.997522
'global_time':5.551176, 'center_x':2.499998, 'center_y':2, 'center_z':6, 'gaze_x':2.685939, 'gaze_y':2.105695, 'gaze_z':5.997571
'global_time':5.564203, 'center_x':2.599998, 'center_y':2, 'center_z':6, 'gaze_x':2.773284, 'gaze_y':2.103723, 'gaze_z':5.997624
'global_time':5.575654, 'center_x':2.699998, 'center_y':2, 'center_z':6, 'gaze_x':2.859408, 'gaze_y':2.100209, 'gaze_z':5.997726
'global_time':5.586927, 'center_x':2.799998, 'center_y':2, 'center_z':6, 'gaze_x':2.948736, 'gaze_y':2.099897, 'gaze_z':5.997783
