'global_time':55.81415, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.5796614, 'gaze_y':1.276984, 'gaze_z':4.9414, 'useGaze': True
'global_time':56.34369, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.942777, 'gaze_y':2.443084, 'gaze_z':4.943366, 'useGaze': True
'global_time':57.11528, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.950874, 'gaze_y':1.260677, 'gaze_z':4.086723, 'useGaze': True
'global_time':59.70009, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.948732, 'gaze_y':1.107486, 'gaze_z':0.8220087, 'useGaze': True
'global_time':60.5163, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.946766, 'gaze_y':2.286107, 'gaze_z':3.807243, 'useGaze': True
'global_time':61.07548, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.649083, 'gaze_y':2.250922, 'gaze_z':4.945534, 'useGaze': True
'global_time':3.785448, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.598236, 'gaze_y':0.9859064, 'gaze_z':4.953515, 'useGaze': True
'global_time':4.077768, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.482, 'gaze_y':1.122583, 'gaze_z':4.946507, 'useGaze': True
'global_time':5.047295, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.944665, 'gaze_y':2.32045, 'gaze_z':3.520148, 'useGaze': False
'global_time':6.519954, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.7926897, 'gaze_y':0.8414074, 'gaze_z':4.954102, 'useGaze': False
'global_time':8.710568, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.951917, 'gaze_y':1.026579, 'gaze_z':0.2152858, 'useGaze': False
'global_time':9.474876, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.936821, 'gaze_y':2.318305, 'gaze_z':0.4995362, 'useGaze': False
'global_time':11.02212, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.81645, 'gaze_y':0.9590118, 'gaze_z':4.953185, 'useGaze': False
'global_time':12.1023, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.950128, 'gaze_y':1.155219, 'gaze_z':3.555531, 'useGaze': False
'global_time':13.4483, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.6911137, 'gaze_y':2.214694, 'gaze_z':4.942589, 'useGaze': False
'global_time':14.75124, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.951124, 'gaze_y':0.9244832, 'gaze_z':3.3008, 'useGaze': False
'global_time':15.74614, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.111632, 'gaze_y':0.7298802, 'gaze_z':4.954509, 'useGaze': False
'global_time':16.66937, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.5459431, 'gaze_y':2.382702, 'gaze_z':4.941058, 'useGaze': False
'global_time':17.55066, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.092641, 'gaze_y':1.078072, 'gaze_z':4.951212, 'useGaze': False
'global_time':18.20552, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.9770909, 'gaze_y':2.349572, 'gaze_z':4.940892, 'useGaze': False
'global_time':19.04363, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.7498, 'gaze_y':0.748825, 'gaze_z':4.953636, 'useGaze': False
'global_time':20.95384, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.934655, 'gaze_y':2.312534, 'gaze_z':0.4803073, 'useGaze': False
'global_time':21.86871, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.946198, 'gaze_y':1.292407, 'gaze_z':0.6687039, 'useGaze': False
'global_time':21.76989, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.963505, 'gaze_y':1.39232, 'gaze_z':0.4697759, 'useGaze': True
'global_time':28.80318, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.952814, 'gaze_y':2.684667, 'gaze_z':3.259668, 'useGaze': True
'global_time':30.29731, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.94549, 'gaze_y':2.834073, 'gaze_z':2.114764, 'useGaze': True
'global_time':31.00877, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.954867, 'gaze_y':2.524305, 'gaze_z':0.8370479, 'useGaze': True
'global_time':35.3257, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.4993767, 'gaze_y':2.721181, 'gaze_z':4.943266, 'useGaze': True
'global_time':36.3527, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.950701, 'gaze_y':1.324669, 'gaze_z':2.352748, 'useGaze': True
'global_time':38.00976, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.918549, 'gaze_y':2.090675, 'gaze_z':3.599987, 'useGaze': True
'global_time':39.19448, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.3458394, 'gaze_y':2.77411, 'gaze_z':4.945636, 'useGaze': True
'global_time':40.59675, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.947066, 'gaze_y':2.499846, 'gaze_z':3.53907, 'useGaze': True
'global_time':41.16183, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.528621, 'gaze_y':1.530615, 'gaze_z':4.949156, 'useGaze': True
'global_time':41.76137, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.231062, 'gaze_y':1.354813, 'gaze_z':4.948977, 'useGaze': True
'global_time':43.17741, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.941215, 'gaze_y':2.346079, 'gaze_z':0.8277879, 'useGaze': True
'global_time':44.32984, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.958119, 'gaze_y':1.40344, 'gaze_z':0.6001303, 'useGaze': True
