'global_time':4.154257, 'center_x':1.519999, 'center_y':2, 'center_z':6, 'gaze_x':1.899661, 'gaze_y':1.994873, 'gaze_z':5.998401
'global_time':4.166913, 'center_x':1.599999, 'center_y':2, 'center_z':6, 'gaze_x':1.962148, 'gaze_y':1.995031, 'gaze_z':5.998428
'global_time':4.179742, 'center_x':1.679999, 'center_y':2, 'center_z':6, 'gaze_x':2.029858, 'gaze_y':1.993631, 'gaze_z':5.998474
'global_time':4.191497, 'center_x':1.759999, 'center_y':2, 'center_z':6, 'gaze_x':2.1759, 'gaze_y':1.992847, 'gaze_z':5.998589
'global_time':4.204199, 'center_x':1.839999, 'center_y':2, 'center_z':6, 'gaze_x':2.255635, 'gaze_y':1.990739, 'gaze_z':5.998679
'global_time':4.218053, 'center_x':1.919999, 'center_y':2, 'center_z':6, 'gaze_x':2.337185, 'gaze_y':1.985227, 'gaze_z':5.998801
'global_time':4.230177, 'center_x':1.999999, 'center_y':2, 'center_z':6, 'gaze_x':2.417447, 'gaze_y':1.975237, 'gaze_z':5.99895
'global_time':4.241992, 'center_x':2.079999, 'center_y':2, 'center_z':6, 'gaze_x':2.499485, 'gaze_y':1.968604, 'gaze_z':5.999069
'global_time':4.253737, 'center_x':2.159999, 'center_y':2, 'center_z':6, 'gaze_x':2.584862, 'gaze_y':1.96615, 'gaze_z':5.999163
'global_time':4.267916, 'center_x':2.239999, 'center_y':2, 'center_z':6, 'gaze_x':2.680432, 'gaze_y':1.967874, 'gaze_z':5.999244
'global_time':4.27922, 'center_x':2.319999, 'center_y':2, 'center_z':6, 'gaze_x':2.881006, 'gaze_y':1.964401, 'gaze_z':5.999474
'global_time':4.291509, 'center_x':2.399998, 'center_y':2, 'center_z':6, 'gaze_x':2.98065, 'gaze_y':1.962443, 'gaze_z':5.9996
'global_time':4.303749, 'center_x':2.479998, 'center_y':2, 'center_z':6, 'gaze_x':3.073971, 'gaze_y':1.962713, 'gaze_z':5.999706
'global_time':4.317056, 'center_x':2.559998, 'center_y':2, 'center_z':6, 'gaze_x':3.15906, 'gaze_y':1.960563, 'gaze_z':5.999821
'global_time':4.329748, 'center_x':2.639998, 'center_y':2, 'center_z':6, 'gaze_x':3.241985, 'gaze_y':1.961789, 'gaze_z':5.999908
'global_time':4.341937, 'center_x':2.719998, 'center_y':2, 'center_z':6, 'gaze_x':3.326159, 'gaze_y':1.966308, 'gaze_z':5.999985
'global_time':4.356096, 'center_x':2.799998, 'center_y':2, 'center_z':6, 'gaze_x':3.409413, 'gaze_y':1.969448, 'gaze_z':6.00008
'global_time':4.366172, 'center_x':2.879998, 'center_y':2, 'center_z':6, 'gaze_x':3.489434, 'gaze_y':1.970187, 'gaze_z':6.000198
'global_time':4.381845, 'center_x':2.959998, 'center_y':2, 'center_z':6, 'gaze_x':3.625232, 'gaze_y':1.968669, 'gaze_z':6.000418
'global_time':4.392622, 'center_x':3.039998, 'center_y':2, 'center_z':6, 'gaze_x':3.676778, 'gaze_y':1.969526, 'gaze_z':6.000476
'global_time':4.406181, 'center_x':3.119998, 'center_y':2, 'center_z':6, 'gaze_x':3.71848, 'gaze_y':1.972225, 'gaze_z':6.000507
'global_time':4.417602, 'center_x':3.199998, 'center_y':2, 'center_z':6, 'gaze_x':3.742755, 'gaze_y':1.973558, 'gaze_z':6.00052
'global_time':4.429811, 'center_x':3.279998, 'center_y':2, 'center_z':6, 'gaze_x':3.761592, 'gaze_y':1.970648, 'gaze_z':6.000558
'global_time':4.441748, 'center_x':3.359998, 'center_y':2, 'center_z':6, 'gaze_x':3.76246, 'gaze_y':1.969942, 'gaze_z':6.000567
'global_time':4.455604, 'center_x':3.439997, 'center_y':2, 'center_z':6, 'gaze_x':3.741602, 'gaze_y':1.967423, 'gaze_z':6.000565
'global_time':4.466575, 'center_x':3.519997, 'center_y':2, 'center_z':6, 'gaze_x':3.711815, 'gaze_y':1.962705, 'gaze_z':6.000564
'global_time':4.478655, 'center_x':3.599997, 'center_y':2, 'center_z':6, 'gaze_x':3.614714, 'gaze_y':1.951817, 'gaze_z':6.000525
'global_time':4.490296, 'center_x':3.679997, 'center_y':2, 'center_z':6, 'gaze_x':3.546711, 'gaze_y':1.944689, 'gaze_z':6.000493
'global_time':4.505409, 'center_x':3.759997, 'center_y':2, 'center_z':6, 'gaze_x':3.483837, 'gaze_y':1.943152, 'gaze_z':6.00044
'global_time':4.517198, 'center_x':3.839997, 'center_y':2, 'center_z':6, 'gaze_x':3.411332, 'gaze_y':1.936165, 'gaze_z':6.000416
'global_time':4.529989, 'center_x':3.919997, 'center_y':2, 'center_z':6, 'gaze_x':3.339305, 'gaze_y':1.930754, 'gaze_z':6.000385
'global_time':4.541799, 'center_x':3.999997, 'center_y':2, 'center_z':6, 'gaze_x':3.25664, 'gaze_y':1.923733, 'gaze_z':6.000363
'global_time':4.555644, 'center_x':3.919997, 'center_y':2, 'center_z':6, 'gaze_x':3.167995, 'gaze_y':1.916925, 'gaze_z':6.00034
'global_time':4.565436, 'center_x':3.919997, 'center_y':2, 'center_z':6, 'gaze_x':3.082783, 'gaze_y':1.910509, 'gaze_z':6.000308
'global_time':4.57578, 'center_x':3.919997, 'center_y':2, 'center_z':6, 'gaze_x':2.999732, 'gaze_y':1.906448, 'gaze_z':6.000267
'global_time':4.587446, 'center_x':3.839997, 'center_y':2, 'center_z':6, 'gaze_x':2.920684, 'gaze_y':1.902035, 'gaze_z':6.000232
'global_time':4.600608, 'center_x':3.759997, 'center_y':2, 'center_z':6, 'gaze_x':2.84748, 'gaze_y':1.896852, 'gaze_z':6.000206
'global_time':4.613125, 'center_x':3.679997, 'center_y':2, 'center_z':6, 'gaze_x':2.713048, 'gaze_y':1.88661, 'gaze_z':6.000169
'global_time':4.624187, 'center_x':3.599997, 'center_y':2, 'center_z':6, 'gaze_x':2.646805, 'gaze_y':1.880062, 'gaze_z':6.000167
'global_time':4.636371, 'center_x':3.519997, 'center_y':2, 'center_z':6, 'gaze_x':2.5785, 'gaze_y':1.871139, 'gaze_z':6.000186
'global_time':4.649468, 'center_x':3.439997, 'center_y':2, 'center_z':6, 'gaze_x':2.512834, 'gaze_y':1.863572, 'gaze_z':6.000197
'global_time':4.662776, 'center_x':3.359998, 'center_y':2, 'center_z':6, 'gaze_x':2.45676, 'gaze_y':1.8618, 'gaze_z':6.000183
'global_time':4.674753, 'center_x':3.279998, 'center_y':2, 'center_z':6, 'gaze_x':2.407057, 'gaze_y':1.860725, 'gaze_z':6.000169
'global_time':4.68686, 'center_x':3.199998, 'center_y':2, 'center_z':6, 'gaze_x':2.373325, 'gaze_y':1.861761, 'gaze_z':6.000159
'global_time':4.70045, 'center_x':3.119998, 'center_y':2, 'center_z':6, 'gaze_x':2.34321, 'gaze_y':1.862728, 'gaze_z':6.00015
'global_time':4.713949, 'center_x':3.039998, 'center_y':2, 'center_z':6, 'gaze_x':2.301844, 'gaze_y':1.860705, 'gaze_z':6.000168
'global_time':4.725626, 'center_x':2.959998, 'center_y':2, 'center_z':6, 'gaze_x':2.284724, 'gaze_y':1.860939, 'gaze_z':6.000172
'global_time':4.737097, 'center_x':2.879998, 'center_y':2, 'center_z':6, 'gaze_x':2.263123, 'gaze_y':1.861577, 'gaze_z':6.000165
'global_time':4.750746, 'center_x':2.799998, 'center_y':2, 'center_z':6, 'gaze_x':2.236552, 'gaze_y':1.863559, 'gaze_z':6.000148
'global_time':4.763713, 'center_x':2.719998, 'center_y':2, 'center_z':6, 'gaze_x':2.205136, 'gaze_y':1.864796, 'gaze_z':6.00013
'global_time':4.774145, 'center_x':2.639998, 'center_y':2, 'center_z':6, 'gaze_x':2.169602, 'gaze_y':1.867206, 'gaze_z':6.000101
