'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':2.125951, 'head_position_x':0.2473722, 'head_position_y':1.735173, 'head_position_z':-0.5529911
'global_time':2.138266, 'head_position_x':0.2475282, 'head_position_y':1.735223, 'head_position_z':-0.5531499
'global_time':2.149964, 'head_position_x':0.247637, 'head_position_y':1.73524, 'head_position_z':-0.5532717
'global_time':2.164452, 'head_position_x':0.2476482, 'head_position_y':1.735288, 'head_position_z':-0.5535409
'global_time':2.175698, 'head_position_x':0.2478304, 'head_position_y':1.735174, 'head_position_z':-0.5536447
'global_time':2.188374, 'head_position_x':0.2480379, 'head_position_y':1.735279, 'head_position_z':-0.553627
'global_time':2.202688, 'head_position_x':0.2480952, 'head_position_y':1.735245, 'head_position_z':-0.5536886
'global_time':2.215768, 'head_position_x':0.2485185, 'head_position_y':1.735273, 'head_position_z':-0.553711
'global_time':2.226485, 'head_position_x':0.2486802, 'head_position_y':1.735267, 'head_position_z':-0.5537942
'global_time':2.237234, 'head_position_x':0.2487087, 'head_position_y':1.735213, 'head_position_z':-0.5538744
'global_time':2.251205, 'head_position_x':0.2488667, 'head_position_y':1.735221, 'head_position_z':-0.5539625
'global_time':2.263013, 'head_position_x':0.2491075, 'head_position_y':1.73526, 'head_position_z':-0.5539602
'global_time':2.274056, 'head_position_x':0.2492518, 'head_position_y':1.73526, 'head_position_z':-0.5540219
'global_time':2.285532, 'head_position_x':0.2492758, 'head_position_y':1.735319, 'head_position_z':-0.5541216
'global_time':2.29952, 'head_position_x':0.2495045, 'head_position_y':1.735394, 'head_position_z':-0.5541119
'global_time':2.309988, 'head_position_x':0.2496819, 'head_position_y':1.735429, 'head_position_z':-0.554172
'global_time':2.321775, 'head_position_x':0.2497424, 'head_position_y':1.735463, 'head_position_z':-0.554311
'global_time':2.333063, 'head_position_x':0.2498869, 'head_position_y':1.735488, 'head_position_z':-0.5543687
'global_time':2.34457, 'head_position_x':0.2501789, 'head_position_y':1.73553, 'head_position_z':-0.5544229
'global_time':2.355408, 'head_position_x':0.2503708, 'head_position_y':1.735553, 'head_position_z':-0.5544701
'global_time':2.367341, 'head_position_x':0.2505102, 'head_position_y':1.735543, 'head_position_z':-0.5546502
'global_time':2.379117, 'head_position_x':0.2507332, 'head_position_y':1.735585, 'head_position_z':-0.5546936
'global_time':2.392003, 'head_position_x':0.2512407, 'head_position_y':1.735672, 'head_position_z':-0.5549105
'global_time':2.401816, 'head_position_x':0.2514564, 'head_position_y':1.735714, 'head_position_z':-0.5549285
'global_time':2.414532, 'head_position_x':0.2518326, 'head_position_y':1.735774, 'head_position_z':-0.5550342
'global_time':2.425966, 'head_position_x':0.2520881, 'head_position_y':1.735837, 'head_position_z':-0.5550597
'global_time':2.439536, 'head_position_x':0.252227, 'head_position_y':1.735843, 'head_position_z':-0.5550521
'global_time':2.451018, 'head_position_x':0.2524993, 'head_position_y':1.735859, 'head_position_z':-0.5550373
'global_time':2.462472, 'head_position_x':0.2528557, 'head_position_y':1.73591, 'head_position_z':-0.5550122
'global_time':2.475299, 'head_position_x':0.2531392, 'head_position_y':1.735978, 'head_position_z':-0.5550231
'global_time':2.490406, 'head_position_x':0.2532403, 'head_position_y':1.736043, 'head_position_z':-0.5550346
'global_time':2.501474, 'head_position_x':0.2535355, 'head_position_y':1.736153, 'head_position_z':-0.5548639
'global_time':2.514853, 'head_position_x':0.2539203, 'head_position_y':1.736256, 'head_position_z':-0.554781
'global_time':2.526875, 'head_position_x':0.2541854, 'head_position_y':1.736306, 'head_position_z':-0.5547654
'global_time':2.540829, 'head_position_x':0.2545177, 'head_position_y':1.736336, 'head_position_z':-0.5547121
'global_time':2.553611, 'head_position_x':0.2547524, 'head_position_y':1.736413, 'head_position_z':-0.5547215
'global_time':2.566693, 'head_position_x':0.2548735, 'head_position_y':1.736468, 'head_position_z':-0.5546649
'global_time':2.580748, 'head_position_x':0.2555531, 'head_position_y':1.736574, 'head_position_z':-0.5546482
'global_time':2.593109, 'head_position_x':0.2557554, 'head_position_y':1.736613, 'head_position_z':-0.5547557
'global_time':2.604905, 'head_position_x':0.2559963, 'head_position_y':1.736654, 'head_position_z':-0.5547208
'global_time':2.616757, 'head_position_x':0.2563989, 'head_position_y':1.736709, 'head_position_z':-0.5547278
